date,cell,experiment,level_3,time,Length,flow,stage,length_diff,neurite,speed,exclude
171013,0,5,241,9.5,32.54768,2.81732,2.5,-5.9466,short,0.29656,FALSE
171013,0,5,243,8,38.49428,2.81732,2.5,0,long,0.352165,FALSE
171013,1,5,237,9.5,61.92384,1.58664,3,0,long,0.167014737,FALSE
171013,1,5,239,9.5,38.5836,3.08,3,-23.34024,short,0.324210526,FALSE
171013,2,5,233,18,42.0134,0,2.5,0,long,0,FALSE
171013,2,5,235,5,10.59212,4.0568,2.5,-31.42128,short,0.81136,FALSE
171013,3,5,229,9.5,57.03192,0,3,0,long,0,TRUE
171013,3,5,231,9.5,12.80444,5.18672,3,-44.22748,short,0.545970526,TRUE
171013,4,5,226,4.5,37.60328,3.4364,2.5,0,long,0.763644444,FALSE
171013,5,5,222,9.5,16.46348,7.16716,2,-10.84864,short,0.754437895,TRUE
171013,5,5,224,2,27.31212,0,2,0,short,0,TRUE
171013,0,6,218,9.5,46.64132,3.17284,2,0,short,0.333983158,FALSE
171013,0,6,220,8.5,46.09132,3.2032,2,-0.55,short,0.376847059,FALSE
171013,1,6,214,9.5,37.56764,3.8302,2.5,-7.74444,short,0.403178947,FALSE
171013,1,6,216,5.5,45.31208,1.32,2.5,0,long,0.24,FALSE
171013,2,6,210,9.5,53.5502,4.06384,3,0,long,0.427772632,FALSE
171013,2,6,212,6,10.12132,5.72,3,-43.42888,short,0.953333333,FALSE
171013,3,6,208,8.5,54.84952,2.3694,2.5,-1.72172,short,0.278752941,FALSE
171013,3,6,709,14,56.57124,2.27788,2.5,0,long,0.162705714,FALSE
171013,3,6,711,10,32.03068,0.59488,2.5,-24.54056,short,0.059488,FALSE
171013,4,6,204,9.5,56.67288,4.93724,3,0,long,0.519709474,FALSE
171013,4,6,206,5,16.65004,5.90304,3,-40.02284,short,1.180608,FALSE
171013,5,6,200,6.5,48.73264,1.32,2.5,0,long,0.203076923,FALSE
171013,5,6,202,8,14.1218,6.303,2.5,-34.61084,short,0.787875,FALSE
171013,0,7,196,9.5,46.44728,4.06692,2.5,0,long,0.428096842,FALSE
171013,0,7,198,3,24.69896,5.8058,2.5,-21.74832,short,1.935266667,FALSE
171013,1,7,192,5,5.04768,3.11124,3,-62.3128,short,0.622248,FALSE
171013,1,7,194,9.5,67.36048,1.96768,3,0,long,0.207124211,FALSE
171013,2,7,188,9.5,29.80956,7.7726,2,-1.79256,short,0.818168421,FALSE
171013,2,7,190,7.5,31.60212,6.7694,2,0,short,0.902586667,FALSE
171013,3,7,184,5.5,44.16236,1.76,2,-1.04368,short,0.32,FALSE
171013,3,7,186,4.5,45.20604,0.98384,2,0,short,0.218631111,FALSE
171013,4,7,180,9.5,31.46616,2.48908,2.5,0,long,0.262008421,FALSE
171013,4,7,182,7.5,11.50732,3.9842,2.5,-19.95884,short,0.531226667,FALSE
171013,5,7,176,9.5,16.86652,3.4364,2,0,short,0.361726316,FALSE
171013,5,7,178,9.5,14.0668,1.96768,2,-2.79972,short,0.207124211,FALSE
171013,0,8,174,9.5,11.38104,5.31652,2,-0.40348,short,0.559633684,FALSE
171013,1,8,170,8.5,58.7972,1.39128,3,0,long,0.16368,FALSE
171013,1,8,172,3.5,8.55052,4.92008,3,-50.24668,short,1.405737143,FALSE
171013,2,8,166,9,28.1886,2.3694,2,0,short,0.263266667,FALSE
171013,3,8,162,9.5,64.64744,1.96768,3,0,long,0.207124211,FALSE
171013,3,8,164,5,5.13392,2.95152,3,-59.51352,short,0.590304,FALSE
171013,4,8,158,9.5,31.50444,5.16516,2.5,-13.72536,short,0.543701053,FALSE
171013,4,8,160,9.5,45.2298,8.33536,2.5,0,long,0.877406316,FALSE
171013,5,8,154,9.5,47.29164,6.16836,2.5,0,long,0.649301053,FALSE
171013,5,8,156,7.5,26.88312,2.95152,2.5,-20.40852,short,0.393536,FALSE
171013,0,9,151,7.5,31.38784,4.81536,2.5,-6.5736,short,0.642048,FALSE
171013,1,9,147,9.5,23.12728,4.4,2.5,-8.1092,short,0.463157895,FALSE
171013,1,9,149,9.5,31.23648,3.2032,2.5,0,long,0.337178947,FALSE
171013,2,9,143,9.5,50.46008,0.62216,3,0,long,0.065490526,FALSE
171013,2,9,145,9.5,28.9542,2.2,3,-21.50588,short,0.231578947,FALSE
171013,3,9,139,8,37.56192,10.8438,2,-3.6322,short,1.355475,FALSE
171013,3,9,141,9,41.19412,5.74948,2,0,short,0.638831111,FALSE
171013,4,9,137,9.5,28.44952,4.03128,2,0,short,0.424345263,FALSE
171013,5,9,133,9.5,39.43016,3.44432,2.5,0,long,0.36256,FALSE
