neuron,analysis,date,cell,distance [px],rel distance [%],speed [px/min]
1,dronpa,180112,13,2.152,0.16350927,0.478222222
2,dronpa,180112,14,2.002,0.17596906,0.444888889
3,dronpa,180112,11,2.18,0.211404189,1.09
4,dronpa,180112,10,2.071,0.33631049,2.071
5,dronpa,180112,7,1.493,0.343021252,0.497666667
6,dronpa,180112,6,1.472,0.394004283,0.981333333
7,dronpa,180112,5,1.076,0.110268498,0.239111111
8,dronpa,180126,04a,0.764,0.064833673,0.1528
9,dronpa,180126,01a,3.485,0.516870597,1.7425
10,dronpa,180126,06a,0.7614,0.111473874,0.19035
11,dronpa,180123,03a,1.41,0.165784832,0.3525
12,dronpa,180123,05a,0.25,0.017835485,0.0625
13,dronpa,180123,06a,0.572,0.094990313,0.143
14,dronpa,180123,08a,2.086,0.217586315,0.347666667
15,dronpa,180123,09a,10.955,1.504463264,3.651666667
16,dronpa,180123,01a,4.673,0.249275414,1.038444444
17,dronpa,180123,02a,0.363,0.052230216,0.09075
18,dronpa,180130,6,3.099,0.936536718,0.6198
19,dronpa,180130,9,0.851,0.109406471,0.106375
20,dronpa,180130,12,1.051,0.169995956,0.2102
21,dronpa,180130,13,0.866,0.214409507,0.1732
22,dronpa,180130,1,1.973,0.161271865,0.49325
23,dronpa,180202,6,3.544,0.502457467,0.886
24,dronpa,180202,7,0.572,0.081485351,0.1144
25,dronpa,180202,12,1.39,0.120743572,0.278
26,dronpa,180202,1,1.559,0.121641655,0.3118
27,dronpa,180202,2,0.831,0.153448435,0.1662
28,dronpa,180202,3,0,0,0
29,dronpa,180206,10,3.564,0.329694727,0.594
30,dronpa,180206,12,1.449,0.221035771,0.36225
31,dronpa,180209,10,2.661,0.174807029,0.66525
32,dronpa,180209,11,0.917,0.073117251,0.152833333
33,dronpa,180209,12,1.997,0.117267095,0.3994
34,dronpa,180209,16,1.606,0.209560263,0.267666667
35,dronpa,180209,1,1.124,0.075473387,0.187333333
36,dronpa,180209,2,0.099,0.019605902,0.0165
37,dronpa,180209,3,0.96,0.141746235,0.192
38,dronpa,180209,5,0.851,0.113547411,0.141833333
39,dronpa,180209,6,1.727,0.254882668,0.3454
40,dronpa,180213,6,2.822,0.265450099,0.5644
41,dronpa,180213,1,0.877,0.126770743,0.146166667
42,dronpa,180213,3,0.154,0.009504999,0.051333333
43,dronpa,180216,4,1.919,0.126287388,0.3838
44,dronpa,180216,5,1.804,0.197201574,0.3608
