,date,neuron,0,max_time,min_diff,number_neurites,nb_neurites_slower,MTRF_column,time_slowdown,axon_growth_time,time_slowdown_diff
0,190712,19,1077.0,1188.0,0.1,4,0,MT-RF_neg_smooth_200,957.0,973,-0.26666666666666666
1,190719,7,251.0,1164.0,0.1,6,0,MT-RF_neg_smooth_200,131.0,238,-1.7833333333333334
2,190719,11,301.0,364.0,0.1,3,0,MT-RF_neg_smooth_200,181.0,100,1.35
3,190723,2,1490.0,1817.0,0.1,4,0,MT-RF_neg_smooth_200,1370.0,713,10.95
4,190723,6,99999.0,1014.0,0.1,4,0,MT-RF_neg_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,225.0,707.0,0.1,3,0,MT-RF_neg_smooth_200,105.0,138,-0.55
6,190730,3,99999.0,1437.0,0.1,4,0,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.1,4,0,MT-RF_neg_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.1,4,0,MT-RF_neg_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.1,4,0,MT-RF_neg_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.1,3,0,MT-RF_neg_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,1066.0,1366.0,0.1,5,0,MT-RF_neg_smooth_200,946.0,409,8.95
12,190820,15,602.0,835.0,0.1,5,0,MT-RF_neg_smooth_200,482.0,348,2.2333333333333334
13,190823,1,976.0,2914.0,0.1,5,0,MT-RF_neg_smooth_200,856.0,379,7.95
14,190823,3,1032.0,2910.0,0.1,9,0,MT-RF_neg_smooth_200,912.0,1900,-16.466666666666665
15,190823,12,1208.0,2435.0,0.1,6,0,MT-RF_neg_smooth_200,1088.0,1130,-0.7
16,190823,15,99999.0,2920.0,0.1,4,0,MT-RF_neg_smooth_200,99879.0,1686,1636.55
0,190712,19,1049.0,1188.0,0.1,4,0,MT-RF_smooth_200,929.0,973,-0.7333333333333333
1,190719,7,99999.0,1164.0,0.1,6,0,MT-RF_smooth_200,99879.0,238,1660.6833333333334
2,190719,11,224.0,364.0,0.1,3,0,MT-RF_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1817.0,0.1,4,0,MT-RF_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1014.0,0.1,4,0,MT-RF_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,439.0,707.0,0.1,3,0,MT-RF_smooth_200,319.0,138,3.0166666666666666
6,190730,3,99999.0,1437.0,0.1,4,0,MT-RF_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1372.0,0.1,4,0,MT-RF_smooth_200,99879.0,0,1664.65
8,190802,5,237.0,1039.0,0.1,4,0,MT-RF_smooth_200,117.0,407,-4.833333333333333
9,190802,9,263.0,686.0,0.1,4,0,MT-RF_smooth_200,143.0,165,-0.36666666666666664
10,190802,10,99999.0,1311.0,0.1,3,0,MT-RF_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,916.0,1366.0,0.1,5,0,MT-RF_smooth_200,796.0,409,6.45
12,190820,15,254.0,835.0,0.1,4,0,MT-RF_smooth_200,134.0,348,-3.566666666666667
13,190823,1,2867.0,2914.0,0.1,5,0,MT-RF_smooth_200,2747.0,379,39.46666666666667
14,190823,3,972.0,2910.0,0.1,9,0,MT-RF_smooth_200,852.0,1900,-17.466666666666665
15,190823,12,1208.0,2435.0,0.1,6,0,MT-RF_smooth_200,1088.0,1130,-0.7
16,190823,15,1054.0,2920.0,0.1,4,0,MT-RF_smooth_200,934.0,1686,-12.533333333333333
0,190712,19,99999.0,1258.0,0.1,4,0,MT-RF_neg_smooth_60,99879.0,973,1648.4333333333334
1,190719,7,99999.0,1238.0,0.1,6,0,MT-RF_neg_smooth_60,99879.0,238,1660.6833333333334
2,190719,11,274.0,434.0,0.1,6,0,MT-RF_neg_smooth_60,154.0,100,0.9
3,190723,2,99999.0,1887.0,0.1,4,0,MT-RF_neg_smooth_60,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1086.0,0.1,4,0,MT-RF_neg_smooth_60,99879.0,472,1656.7833333333333
5,190726,7,196.0,787.0,0.1,3,0,MT-RF_neg_smooth_60,76.0,138,-1.0333333333333334
