date,experiment,cell,level_3,time,Length,flow,accumulation,stage,length_diff,neurite,speed
190430,2,0,108,10.0,28.0896,2.783,yes,2.0,0.0,short,0.2783
190430,2,0,110,10.0,25.14028,4.1509599999999995,no,2.0,-2.94932,short,0.41509599999999997
190430,2,1,104,10.0,44.77132,2.95152,yes,2.5,0.0,long,0.29515199999999997
190430,2,1,106,10.0,32.296,4.0568,no,2.5,-12.475320000000004,short,0.40568
190430,2,4,100,9.5,25.66872,2.95152,yes,2.0,-1.4379200000000019,short,0.3106863157894737
190430,2,4,102,10.0,27.106640000000002,2.56564,no,2.0,0.0,short,0.256564
190430,2,6,96,9.0,28.27528,1.2443199999999999,yes,2.0,0.0,short,0.13825777777777776
190430,2,6,98,10.0,27.98796,2.3693999999999997,no,2.0,-0.2873199999999976,short,0.23693999999999998
190430,2,8,116,10.0,36.06064,2.64,yes,3.0,-18.012280000000004,short,0.264
190430,2,8,118,10.0,54.07292,0.98384,no,3.0,0.0,long,0.098384
190430,2,12,112,10.0,37.25656,1.96768,yes,2.5,0.0,long,0.196768
190430,2,12,114,10.0,29.044839999999997,1.2443199999999999,no,2.5,-8.211720000000003,short,0.12443199999999999
190514,6,5,160,10.0,30.385520000000003,0.0,yes,2.0,0.0,short,0.0
190514,6,5,162,10.0,23.55892,1.96768,no,2.0,-6.826600000000003,short,0.196768
190514,6,6,156,6.5,33.27236,0.0,yes,2.5,0.0,long,0.0
190514,6,6,158,8.5,27.449840000000002,4.0568,no,2.5,-5.822519999999997,short,0.4772705882352941
190514,8,0,144,5.5,53.49608,0.0,yes,3.0,0.0,long,0.0
190514,8,0,146,10.0,38.27736,1.39128,no,3.0,-15.218719999999998,short,0.139128
190514,8,2,140,9.0,47.14732,-1.25532,yes,2.5,0.0,long,-0.13948
190514,8,2,142,7.0,38.855959999999996,3.08,no,2.5,-8.291360000000005,short,0.44
190514,8,3,136,10.0,48.96452,2.67652,yes,2.0,0.0,short,0.267652
190514,8,3,138,10.0,48.42332,7.48176,no,2.0,-0.5412000000000035,short,0.7481760000000001
190514,8,4,132,10.0,51.89096,2.56564,yes,3.0,0.0,long,0.256564
190514,8,4,134,10.0,40.0554,3.9842,no,3.0,-11.835560000000001,short,0.39842
190514,8,6,130,9.5,24.86352,6.16,no,2.0,-3.6242800000000024,short,0.648421052631579
190514,8,7,124,7.0,42.22328,3.7848800000000002,yes,2.5,0.0,long,0.5406971428571429
190514,8,7,126,10.0,28.273519999999998,4.0568,no,2.5,-13.949760000000005,short,0.40568
190514,8,9,120,10.0,53.39796,-0.88704,yes,2.5,0.0,long,-0.088704
190514,8,9,122,10.0,48.01016,1.8669200000000001,no,2.5,-5.387799999999999,short,0.18669200000000002
190514,8,11,152,8.0,40.86236,0.88,yes,2.5,0.0,long,0.11
190514,8,11,154,8.5,25.24148,5.99104,no,2.5,-15.620880000000003,short,0.7048282352941176
190514,8,13,148,10.0,39.32632,0.44,yes,2.5,-6.1248000000000005,short,0.044
190514,8,13,150,10.0,45.45112,2.3693999999999997,no,2.5,0.0,long,0.23693999999999998
190517,2,5,92,9.0,39.53356,3.5472799999999998,yes,2.5,0.0,long,0.39414222222222217
190517,2,5,94,9.0,26.19936,3.11124,no,2.5,-13.334200000000003,short,0.34569333333333335
190517,2,6,88,5.5,44.6094,7.48,yes,2.0,-2.0834000000000046,short,1.36
190517,2,6,90,10.0,46.692800000000005,3.11124,no,2.0,0.0,short,0.311124
190517,2,12,84,3.0,34.21924,0.0,yes,2.5,-6.005119999999998,short,0.0
190517,2,12,86,3.0,40.22436,1.2443199999999999,no,2.5,0.0,long,0.41477333333333327
190521,1,7,80,10.0,42.44768,0.0,yes,3.0,-18.417959999999994,short,0.0
190521,1,7,82,10.0,60.86563999999999,1.8669200000000001,no,3.0,0.0,long,0.18669200000000002
190521,1,10,76,1.5,31.583640000000003,0.6221599999999999,yes,2.0,-4.253479999999996,short,0.41477333333333327
