,Unnamed: 0,date,neuron,treatment,origin,branch,stage,axon,frames,cycles,cycles/h,cycle_amplitude,pos_amplitude,neg_amplitude,time_for_increase,time_for_decrease,speed_increase,speed_decrease,first_pos_amplitude,first_neg_amplitude,first_time_for_increase,first_time_for_decrease,first_speed_increase,first_speed_decrease,cycle_threshold
0,0,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,5.5,1.375,0.2733213608460132,0.3313588758204836,-0.2249567650339544,27.0,16.0,0.0194571479112281,-0.0134326451439187,0.2509364332667233,-0.2249567650339544,19.8,16.0,0.0193215582714163,-0.0134326451439187,0.05
1,1,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,4.0,1.0,0.3489935797928137,0.3937314977427844,-0.304255661842843,37.5,18.0,0.0212801587033813,-0.0173720069497713,0.2660437080847617,-0.304255661842843,17.25,18.0,0.022564386722649,-0.0173720069497713,0.1
2,2,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,2.0,0.5,0.56603154261123,0.6555073785111715,-0.4765557067112885,78.0,33.0,0.0125154896776135,-0.0159095681291129,0.5392161435805717,-0.3072489709751284,33.0,22.5,0.0165779559343008,-0.0148920805307469,0.2
3,3,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,1.0,0.25,0.7045982900038872,0.7351120564797574,-0.674084523528017,126.0,51.0,0.0058342226704742,-0.0132173435985885,0.5025295866185578,-0.3354710520556967,36.0,30.0,0.0139591551838488,-0.0111823684018565,0.3
4,4,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,1.0,0.25,0.7045982900038872,0.7351120564797574,-0.674084523528017,126.0,51.0,0.0058342226704742,-0.0132173435985885,0.5025295866185578,-0.674084523528017,36.0,51.0,0.0139591551838488,-0.0132173435985885,0.4
5,5,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,1.0,0.25,0.7045982900038872,0.7351120564797574,-0.674084523528017,126.0,51.0,0.0058342226704742,-0.0132173435985885,0.5025295866185578,-0.674084523528017,36.0,51.0,0.0139591551838488,-0.0132173435985885,0.5
6,6,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,1.0,0.25,0.7045982900038872,0.7351120564797574,-0.674084523528017,126.0,51.0,0.0058342226704742,-0.0132173435985885,0.6111685324818471,-0.674084523528017,81.0,51.0,0.0075452905244672,-0.0132173435985885,0.6
7,7,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,0.0,0.0,,,,,,,,,,,,,,0.7
8,8,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,0.0,0.0,,,,,,,,,,,,,,0.8
9,9,190426,cell0004,taxol,1.0,0.0,2.0,0.0,240,0.0,0.0,,,,,,,,,,,,,,0.9
