date,experiment,cell,level_3,time,length,flow,expression,treatment,stage,length_diff,neurite,speed
180116,1,0,405,9.5,10.91508,4.1509599999999995,294.438,IC2,2.0,-0.6731999999999996,short,0.4369431578947368
180116,1,0,407,9.5,11.58828,5.29848,294.438,IC2,2.0,0.0,short,0.5577347368421052
180116,1,1,400,8.0,21.91816,4.6772,315.438,IC2,2.5,-14.56136,short,0.58465
180116,1,1,402,9.5,36.47952,0.44,315.438,IC2,2.5,0.0,long,0.04631578947368421
180116,1,2,396,9.5,18.86192,3.2032000000000003,1036.469,IC2,2.0,-0.7259999999999991,short,0.3371789473684211
180116,1,2,398,6.0,19.58792,0.6221599999999999,1036.469,IC2,2.0,0.0,short,0.10369333333333332
180116,1,3,392,9.5,21.94368,2.2,613.844,IC2,2.0,0.0,short,0.23157894736842108
180116,1,3,394,6.0,17.0368,2.95152,613.844,IC2,2.0,-4.906880000000001,short,0.49191999999999997
180116,1,4,388,4.0,16.176160000000003,1.58664,859.281,IC2,2.5,-22.839080000000003,short,0.39666
180116,1,4,390,4.0,39.015240000000006,3.11124,859.281,IC2,2.5,0.0,long,0.77781
180116,1,5,384,9.5,13.431,1.39128,242.625,IC2,3.0,-72.82748000000001,short,0.14645052631578948
180116,1,5,386,9.5,86.25848,0.0,242.625,IC2,3.0,0.0,long,0.0
180116,1,6,380,9.5,22.33528,1.8141200000000002,313.25,IC2,2.0,-0.42635999999999896,short,0.19096000000000002
180116,1,6,382,5.5,22.76164,3.11124,313.25,IC2,2.0,0.0,short,0.56568
180116,1,7,376,9.0,20.37904,2.783,336.875,IC2,2.5,-11.067319999999999,short,0.30922222222222223
180116,1,7,378,9.0,31.44636,1.32,336.875,IC2,2.5,0.0,long,0.14666666666666667
180116,1,9,372,9.5,29.16012,6.55424,223.812,IC2,2.5,-10.688479999999998,short,0.68992
180116,1,9,374,9.5,39.8486,0.44,223.812,IC2,2.5,0.0,long,0.04631578947368421
180116,1,10,368,9.5,35.46884,2.74384,163.906,IC2,2.5,0.0,long,0.28882526315789475
180116,1,10,370,9.5,15.125,2.67652,163.906,IC2,2.5,-20.34384,short,0.28173894736842103
180116,1,13,365,5.5,11.65692,5.67688,865.75,IC2,2.0,-2.2404800000000016,short,1.03216
180116,2,0,361,9.0,19.68736,3.7333999999999996,177.625,IC2,3.0,-33.38808,short,0.4148222222222222
180116,2,0,363,9.5,53.07544,0.0,177.625,IC2,3.0,0.0,long,0.0
180116,2,3,358,9.5,24.84064,0.6221599999999999,450.531,IC2,2.0,0.0,short,0.06549052631578947
180116,2,4,354,9.5,17.84508,4.5694,245.344,IC2,2.0,0.0,short,0.4809894736842105
180116,2,4,356,9.5,10.63304,3.35104,245.344,IC2,2.0,-7.21204,short,0.3527410526315789
180116,2,6,351,3.5,13.71876,4.1509599999999995,184.812,IC2,2.5,-28.200039999999998,short,1.1859885714285714
180116,2,7,413,9.5,20.32976,0.88,293.281,IC2,2.0,-6.433679999999999,short,0.09263157894736843
