date,neuron,manipulation,condition,c2_group,dynein_group,neurite,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,time,length,intensity,Unnamed: 0.1.1.1.1,origin,branch,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,length_um,length_um_smooth,growth,dT,growth_rate,MT-RF_smooth_100,MT-RF_smooth_10,MT-RF_smooth_20,MT-RF_smooth_40,MT-RF_smooth_60,MT-RF_pos_smooth_100,MT-RF_pos_smooth_10,MT-RF_pos_smooth_20,MT-RF_pos_smooth_40,MT-RF_pos_smooth_60,MT-RF_neg_smooth_100,MT-RF_neg_smooth_10,MT-RF_neg_smooth_20,MT-RF_neg_smooth_40,MT-RF_neg_smooth_60,intensity_norm,intensity_norm_smooth,d_intensity,d_intensity_rate,frame,MT-RF_smooth_200,MT-RF_pos_smooth_200,MT-RF_neg_smooth_200,dead,stage,c2,dynein
210601,0,before,Dync1h1,medium,low,39,23.0,23.0,23.0,23.0,34.5,280.0425531914894,,9.5,0.5,0.5,-0.5338703703703704,0.11184588628742059,1.85,,,,-0.5338703703703704,0.11184588628742059,1.85,61.60936170212766,61.18619047619049,-0.07243902439024213,1.5,-0.04829268292682809,,-0.5388019751453393,-0.5325337573948685,-0.5286365213714779,-0.47141725377019505,,,,,0.25116250944822366,,-0.5388019751453393,-0.5325337573948685,-0.5286365213714779,-0.5321356569822824,,,,,23.0,,,,0.0,3.0,621.387,0.0
210601,0,before,Dync1h1,medium,low,40,147.0,147.0,147.0,147.0,34.5,60.851063829787236,,17.5,0.5,0.5,-0.3805349794238683,0.07081543467883053,1.1388888888888888,,,,-0.3805349794238683,0.07081543467883053,1.1388888888888888,13.387234042553192,12.81185714285714,-0.14380487804878117,1.5,-0.09586991869918744,,-0.3814849248341311,-0.39970190276502626,-0.4037831073284059,-0.416624748981651,,,,,,,-0.3814849248341311,-0.39970190276502626,-0.4037831073284059,-0.416624748981651,,,,,23.0,,,,0.0,3.0,621.387,0.0
210601,0,before,Dync1h1,medium,low,41,271.0,271.0,271.0,271.0,34.5,78.63829787234043,,9.5,0.5,0.5,-0.41265277777777776,0.06265751755514125,1.1,,,,-0.41265277777777776,0.06265751755514125,1.1,17.300425531914893,17.11285714285714,0.02092682926829261,1.5,0.01395121951219507,,-0.42710021372232004,-0.4445921060652813,-0.439132456919237,-0.4398108855115559,,,,,,,-0.42710021372232004,-0.4445921060652813,-0.439132456919237,-0.4398108855115559,,,,,23.0,,,,0.0,3.0,621.387,0.0
210601,0,between,Dync1h1,medium,low,39,49.0,49.0,49.0,49.0,73.5,262.6,,,,,,,,,,,,,,57.772000000000006,58.066800000000036,-0.21120000000001654,1.5,-0.14080000000001103,-0.2080022446689114,-0.5999999999999996,-0.5701619047619046,-0.49573827160493833,-0.20549584481421856,0.2933333333333333,,,0.2444444444444444,0.2785728395061728,-0.5338703703703704,-0.5999999999999996,-0.5701619047619046,-0.5266223036223037,-0.5260493827160494,,,,,49.0,,,,0.0,3.0,621.387,0.0
210601,0,between,Dync1h1,medium,low,40,173.0,173.0,173.0,173.0,73.5,49.4,,37.5,0.5,0.5,-0.6966666666666667,,1.0,,,,-0.6966666666666667,,1.0,10.867999999999999,11.00439999999999,0.3300000000000046,1.5,0.22000000000000308,-0.4121481481481481,-0.6746666666666672,-0.4468159905937686,-0.40381239982672745,-0.40967185758000574,,,,,,-0.4121481481481481,-0.6746666666666672,-0.4468159905937686,-0.40381239982672745,-0.40967185758000574,,,,,49.0,,,,0.0,3.0,621.387,0.0
210601,0,between,Dync1h1,medium,low,41,297.0,297.0,297.0,297.0,73.5,77.6,,,,,,,,,,,,,,17.072,17.670399999999994,-0.14960000000000018,1.5,-0.09973333333333344,-0.4376777777777778,,,-0.5176984126984129,-0.48416945461945476,,,,,,-0.4376777777777778,,,-0.5176984126984129,-0.48416945461945476,,,,,49.0,,,,0.0,3.0,621.387,0.0
210601,0,early,Dync1h1,medium,low,39,67.5,67.5,67.5,67.5,101.25,258.28125,,26.0,0.5,0.5,0.29333333333333333,0.0691393297160179,1.3846153846153846,0.29333333333333333,0.0691393297160179,1.3846153846153846,,,,56.821875,56.59912499999991,-0.19731249999999953,1.5,-0.13154166666666636,-0.17718425569891624,0.2856140350877188,0.21232153032152987,0.15294190917107553,0.05882232474145213,0.2933333333333333,0.28561403508771926,0.2800149911816578,0.2848576940035273,0.2933333333333333,-0.5300414139532003,,-0.5999999999999996,-0.5620330420608197,-0.5458070425646183,,,,,67.5,,,,0.90625,3.0,621.387,0.0
210601,0,early,Dync1h1,medium,low,40,191.5,191.5,191.5,191.5,101.25,38.84375,,,,,,,,,,,,,,8.545625,8.360687500000013,-0.32174999999999976,1.5,-0.21449999999999986,-0.4148048547883576,-0.6966666666666672,-0.684444444444445,-0.5488631788397874,-0.4996149006605163,,,,,,-0.4148048547883576,-0.6966666666666672,-0.684444444444445,-0.5488631788397874,-0.4996149006605163,,,,,67.5,,,,0.90625,3.0,621.387,0.0
210601,0,early,Dync1h1,medium,low,41,315.5,315.5,315.5,315.5,101.25,77.0625,,22.0,0.5,0.5,-0.5377777777777778,0.0,1.2,,,,-0.5377777777777778,0.0,1.2,16.95375,16.925562500000012,-0.024749999999998818,1.5,-0.01649999999999922,-0.4625915047166523,-0.5377777777777784,-0.5377777777777784,-0.5359408068783074,-0.5280931988536159,,,,,,-0.4625915047166523,-0.5377777777777784,-0.5377777777777784,-0.5359408068783074,-0.5280931988536159,,,,,67.5,,,,0.90625,3.0,621.387,0.0
210601,0,late,Dync1h1,medium,low,39,103.5,103.5,103.5,103.5,155.25,232.35,,,,,,,,,,,,,,51.117000000000004,50.39508571428576,0.08234285714285362,1.5,0.05489523809523574,,0.3422222222222224,0.33328835978835986,0.3138332353517537,0.293333333333333,,0.3422222222222224,0.3332883597883599,0.3138332353517539,0.2933333333333333,,,,,,,,,,103.5,,,,1.0,3.0,621.387,0.0
