,date,experiment,cell,kymograph,interval,time,region,tubb_mass,tubb_frac,time_speedup
0,220225,1,1,130,0,3,retrograde,2611,0.05804931190110941,same
0,220225,1,1,130,0,3,anterograde,35774,0.7953489406167322,same
0,220225,1,1,130,0,3,stationary,6594,0.14660174748215835,same
0,220225,1,2,127,1,2,retrograde,42618,0.7803493609697147,same
0,220225,1,2,127,1,2,anterograde,8759,0.16038012231296006,same
0,220225,1,2,127,1,2,stationary,3237,0.05927051671732523,same
0,220225,1,3,125,0,3,retrograde,5030,1.0,same
0,220225,1,3,125,0,3,anterograde,0,0.0,same
0,220225,1,3,125,0,3,stationary,0,0.0,same
0,220225,1,17,119,1,4,retrograde,6478,1.0,same
0,220225,1,17,119,1,4,anterograde,0,0.0,same
0,220225,1,17,119,1,4,stationary,0,0.0,same
0,220225,1,18,117,0,3,retrograde,9334,0.3078699122633419,same
0,220225,1,18,117,0,3,anterograde,11378,0.3752886074279306,same
0,220225,1,18,117,0,3,stationary,9606,0.3168414803087275,same
0,220225,1,22,115,0,4,retrograde,23594,0.9568497039500365,same
0,220225,1,22,115,0,4,anterograde,846,0.03430935193446346,same
0,220225,1,22,115,0,4,stationary,218,0.00884094411550004,same
0,220304,1,4,112,1,10,retrograde,8254,1.0,same
0,220304,1,4,112,1,10,anterograde,0,0.0,same
0,220304,1,4,112,1,10,stationary,0,0.0,same
0,220304,1,5,108,1,4,retrograde,9606,0.9906156543260802,same
0,220304,1,5,108,1,4,anterograde,22,0.0022687429101784055,same
0,220304,1,5,108,1,4,stationary,69,0.007115602763741363,same
0,220304,1,7,105,0,5,retrograde,9886,0.9154551347346976,same
0,220304,1,7,105,0,5,anterograde,91,0.008426706176497824,same
0,220304,1,7,105,0,5,stationary,822,0.07611815908880452,same
0,220304,1,7,106,0,5,retrograde,14258,0.9670374389582203,same
0,220304,1,7,106,0,5,anterograde,451,0.030588714053174173,same
0,220304,1,7,106,0,5,stationary,35,0.0023738469886055344,same
0,220304,1,7,106,2,5,retrograde,9859,0.4363740981720002,same
0,220304,1,7,106,2,5,anterograde,9807,0.4340725003319612,same
0,220304,1,7,106,2,5,stationary,2927,0.12955340149603858,same
0,220304,1,8,103,0,7,retrograde,9606,0.9381775564019924,same
0,220304,1,8,103,0,7,anterograde,326,0.031839046781912295,same
0,220304,1,8,103,0,7,stationary,307,0.029983396816095322,same
0,220304,1,18,96,2,2,retrograde,5833,0.9622236885516331,same
0,220304,1,18,96,2,2,anterograde,0,0.0,same
0,220304,1,18,96,2,2,stationary,229,0.03777631144836688,same
0,220311,1,2,84,0,4,retrograde,26299,0.8731117824773413,same
0,220311,1,2,84,0,4,anterograde,2817,0.09352279140798778,same
0,220311,1,2,84,0,4,stationary,1005,0.033365426114670825,same
