,date,experiment,cell,kymograph,interval,time,region,tubb_mass,tubb_frac
0,220408,3,0,127,0,0,retrograde,8642,0.6783359497645212
1,220408,3,0,127,0,1,retrograde,3861,0.39906976744186046
2,220408,3,0,127,0,2,retrograde,3852,0.5910695105109713
3,220408,3,0,127,0,3,retrograde,4158,0.5367931835786213
4,220408,3,0,127,0,4,retrograde,4221,0.633688635340039
5,220408,3,0,127,0,5,retrograde,5155,0.6782894736842106
6,220408,3,0,127,0,6,retrograde,3474,0.6895593489479952
7,220408,3,0,127,0,7,retrograde,1616,0.4782480023675644
8,220408,3,0,127,0,8,retrograde,2002,1.0
9,220408,3,0,127,0,9,retrograde,1334,0.7238198589256647
10,220408,3,0,127,0,10,retrograde,1712,0.8175740210124164
11,220408,3,0,127,0,11,retrograde,780,0.362453531598513
12,220408,3,0,127,0,12,retrograde,3322,0.7281893906181499
13,220408,3,0,127,0,13,retrograde,473,0.244824016563147
14,220408,3,0,127,0,14,retrograde,593,0.47026169706582077
15,220408,3,0,127,0,15,retrograde,1285,1.0
16,220408,3,0,127,0,16,retrograde,2137,1.0
17,220408,3,0,127,0,17,retrograde,1555,1.0
18,220408,3,0,127,0,18,retrograde,1606,0.9245826137017847
19,220408,3,0,127,0,19,retrograde,1659,0.9963963963963964
20,220408,3,0,127,0,20,retrograde,1660,0.9736070381231672
21,220408,3,0,127,0,21,retrograde,951,0.9434523809523809
22,220408,3,0,127,0,22,retrograde,1466,0.9779853235490327
23,220408,3,0,127,0,23,retrograde,1184,0.9419252187748608
24,220408,3,0,127,0,24,retrograde,765,0.9683544303797469
0,220408,3,0,127,0,0,anterograde,0,0.0
1,220408,3,0,127,0,1,anterograde,103,0.010645994832041344
2,220408,3,0,127,0,2,anterograde,0,0.0
3,220408,3,0,127,0,3,anterograde,142,0.018332042344435837
4,220408,3,0,127,0,4,anterograde,28,0.00420357303708152
5,220408,3,0,127,0,5,anterograde,136,0.017894736842105262
6,220408,3,0,127,0,6,anterograde,0,0.0
7,220408,3,0,127,0,7,anterograde,208,0.061556673572062744
8,220408,3,0,127,0,8,anterograde,0,0.0
9,220408,3,0,127,0,9,anterograde,120,0.06511123168746609
10,220408,3,0,127,0,10,anterograde,11,0.0052531041069723014
11,220408,3,0,127,0,11,anterograde,17,0.007899628252788104
12,220408,3,0,127,0,12,anterograde,73,0.016001753616834723
13,220408,3,0,127,0,13,anterograde,46,0.023809523809523808
14,220408,3,0,127,0,14,anterograde,28,0.022204599524187154
15,220408,3,0,127,0,15,anterograde,0,0.0
16,220408,3,0,127,0,16,anterograde,0,0.0
17,220408,3,0,127,0,17,anterograde,0,0.0
18,220408,3,0,127,0,18,anterograde,131,0.07541738629821532
19,220408,3,0,127,0,19,anterograde,6,0.0036036036036036037
20,220408,3,0,127,0,20,anterograde,27,0.015835777126099706
21,220408,3,0,127,0,21,anterograde,4,0.003968253968253968
22,220408,3,0,127,0,22,anterograde,33,0.022014676450967312
23,220408,3,0,127,0,23,anterograde,21,0.016706443914081145
24,220408,3,0,127,0,24,anterograde,25,0.03164556962025317
0,220408,3,0,127,0,0,stationary,4098,0.3216640502354788
1,220408,3,0,127,0,1,stationary,5711,0.5902842377260982
2,220408,3,0,127,0,2,stationary,2665,0.4089304894890287
3,220408,3,0,127,0,3,stationary,3446,0.4448747740769429
4,220408,3,0,127,0,4,stationary,2412,0.3621077916228794
5,220408,3,0,127,0,5,stationary,2309,0.3038157894736842
6,220408,3,0,127,0,6,stationary,1564,0.31044065105200475
7,220408,3,0,127,0,7,stationary,1555,0.4601953240603729
8,220408,3,0,127,0,8,stationary,0,0.0
9,220408,3,0,127,0,9,stationary,389,0.21106890938686923
10,220408,3,0,127,0,10,stationary,371,0.17717287488061126
11,220408,3,0,127,0,11,stationary,1355,0.6296468401486989
12,220408,3,0,127,0,12,stationary,1167,0.25580885576501533
13,220408,3,0,127,0,13,stationary,1413,0.7313664596273292
14,220408,3,0,127,0,14,stationary,640,0.507533703409992
15,220408,3,0,127,0,15,stationary,0,0.0
16,220408,3,0,127,0,16,stationary,0,0.0
17,220408,3,0,127,0,17,stationary,0,0.0
18,220408,3,0,127,0,18,stationary,0,0.0
19,220408,3,0,127,0,19,stationary,0,0.0
20,220408,3,0,127,0,20,stationary,18,0.010557184750733138
21,220408,3,0,127,0,21,stationary,53,0.05257936507936508
22,220408,3,0,127,0,22,stationary,0,0.0
23,220408,3,0,127,0,23,stationary,52,0.04136833731105807
24,220408,3,0,127,0,24,stationary,0,0.0
0,220408,3,0,127,1,0,retrograde,0,
1,220408,3,0,127,1,1,retrograde,11368,0.4971356102680719
2,220408,3,0,127,1,2,retrograde,13965,0.576637211991081
3,220408,3,0,127,1,3,retrograde,11999,0.6083760077067383
4,220408,3,0,127,1,4,retrograde,6947,0.4921365826013035
5,220408,3,0,127,1,5,retrograde,4511,0.38874526025508443
6,220408,3,0,127,1,6,retrograde,3053,0.33623348017621146
7,220408,3,0,127,1,7,retrograde,1169,0.16455518018018017
8,220408,3,0,127,1,8,retrograde,1281,0.36980369515011546
9,220408,3,0,127,1,9,retrograde,498,0.12196914033798678
10,220408,3,0,127,1,10,retrograde,2513,0.641726251276813
11,220408,3,0,127,1,11,retrograde,502,0.371301775147929
12,220408,3,0,127,1,12,retrograde,469,0.18835341365461847
13,220408,3,0,127,1,13,retrograde,0,
14,220408,3,0,127,1,14,retrograde,531,0.2991549295774648
15,220408,3,0,127,1,15,retrograde,0,
16,220408,3,0,127,1,16,retrograde,428,0.12369942196531791
17,220408,3,0,127,1,17,retrograde,569,0.3148865522966242
18,220408,3,0,127,1,18,retrograde,65,0.05154639175257732
19,220408,3,0,127,1,19,retrograde,300,0.16556291390728478
20,220408,3,0,127,1,20,retrograde,376,0.2023681377825619
21,220408,3,0,127,1,21,retrograde,6,0.0076726342710997444
22,220408,3,0,127,1,22,retrograde,48,0.01866251944012442
23,220408,3,0,127,1,23,retrograde,3,0.001190003966679889
24,220408,3,0,127,1,24,retrograde,0,0.0
0,220408,3,0,127,1,0,anterograde,0,
1,220408,3,0,127,1,1,anterograde,2884,0.1261206104867276
2,220408,3,0,127,1,2,anterograde,4102,0.16937814848459823
3,220408,3,0,127,1,3,anterograde,2372,0.12026567966333722
4,220408,3,0,127,1,4,anterograde,808,0.05724001133465571
5,220408,3,0,127,1,5,anterograde,1791,0.15434332988624613
6,220408,3,0,127,1,6,anterograde,1231,0.1355726872246696
7,220408,3,0,127,1,7,anterograde,2057,0.28955518018018017
8,220408,3,0,127,1,8,anterograde,1815,0.523960739030023
9,220408,3,0,127,1,9,anterograde,2093,0.5126132745530247
10,220408,3,0,127,1,10,anterograde,660,0.16853932584269662
11,220408,3,0,127,1,11,anterograde,850,0.628698224852071
12,220408,3,0,127,1,12,anterograde,1995,0.8012048192771084
13,220408,3,0,127,1,13,anterograde,0,
14,220408,3,0,127,1,14,anterograde,1026,0.5780281690140845
15,220408,3,0,127,1,15,anterograde,0,
16,220408,3,0,127,1,16,anterograde,3032,0.8763005780346821
17,220408,3,0,127,1,17,anterograde,1238,0.6851134477033758
18,220408,3,0,127,1,18,anterograde,1196,0.9484536082474226
19,220408,3,0,127,1,19,anterograde,1512,0.8344370860927153
20,220408,3,0,127,1,20,anterograde,1482,0.7976318622174381
21,220408,3,0,127,1,21,anterograde,776,0.9923273657289002
22,220408,3,0,127,1,22,anterograde,2524,0.9813374805598756
23,220408,3,0,127,1,23,anterograde,2322,0.921063070210234
24,220408,3,0,127,1,24,anterograde,3675,0.9510869565217391
0,220408,3,0,127,1,0,stationary,0,
1,220408,3,0,127,1,1,stationary,8615,0.3767437792452005
2,220408,3,0,127,1,2,stationary,6151,0.25398463952432077
3,220408,3,0,127,1,3,stationary,5352,0.27135831262992444
4,220408,3,0,127,1,4,stationary,6361,0.45062340606404083
5,220408,3,0,127,1,5,stationary,5302,0.4569114098586694
6,220408,3,0,127,1,6,stationary,4796,0.5281938325991189
7,220408,3,0,127,1,7,stationary,3878,0.5458896396396397
8,220408,3,0,127,1,8,stationary,368,0.10623556581986143
9,220408,3,0,127,1,9,stationary,1492,0.3654175851089885
10,220408,3,0,127,1,10,stationary,743,0.1897344228804903
11,220408,3,0,127,1,11,stationary,0,0.0
12,220408,3,0,127,1,12,stationary,26,0.010441767068273093
13,220408,3,0,127,1,13,stationary,0,
14,220408,3,0,127,1,14,stationary,218,0.12281690140845071
15,220408,3,0,127,1,15,stationary,0,
16,220408,3,0,127,1,16,stationary,0,0.0
17,220408,3,0,127,1,17,stationary,0,0.0
18,220408,3,0,127,1,18,stationary,0,0.0
19,220408,3,0,127,1,19,stationary,0,0.0
20,220408,3,0,127,1,20,stationary,0,0.0
21,220408,3,0,127,1,21,stationary,0,0.0
22,220408,3,0,127,1,22,stationary,0,0.0
23,220408,3,0,127,1,23,stationary,196,0.07774692582308608
24,220408,3,0,127,1,24,stationary,189,0.04891304347826087
0,220408,3,7,125,0,0,retrograde,7047,0.9975934314835787
1,220408,3,7,125,0,1,retrograde,7537,1.0
2,220408,3,7,125,0,2,retrograde,6875,0.9936406995230525
3,220408,3,7,125,0,3,retrograde,5371,0.9601358598498391
4,220408,3,7,125,0,4,retrograde,7617,0.9690839694656489
5,220408,3,7,125,0,5,retrograde,3968,0.9183059476972923
6,220408,3,7,125,0,6,retrograde,3416,0.7143454621497282
7,220408,3,7,125,0,7,retrograde,3798,0.5986759142496847
8,220408,3,7,125,0,8,retrograde,2755,0.48571932299012693
9,220408,3,7,125,0,9,retrograde,6805,0.9509502515371716
10,220408,3,7,125,0,10,retrograde,6201,0.7387419585418156
11,220408,3,7,125,0,11,retrograde,3812,0.6344873501997337
12,220408,3,7,125,0,12,retrograde,6182,0.5671559633027523
13,220408,3,7,125,0,13,retrograde,7342,0.7358925528716047
14,220408,3,7,125,0,14,retrograde,5990,0.9433070866141732
15,220408,3,7,125,0,15,retrograde,5880,0.5743309240085954
16,220408,3,7,125,0,16,retrograde,3285,0.7602406850266142
17,220408,3,7,125,0,17,retrograde,2751,0.5321083172147002
18,220408,3,7,125,0,18,retrograde,4663,0.7227216367017979
19,220408,3,7,125,0,19,retrograde,6467,0.5295610874549623
20,220408,3,7,125,0,20,retrograde,9916,0.6431860932736589
21,220408,3,7,125,0,21,retrograde,5825,0.6454293628808865
22,220408,3,7,125,0,22,retrograde,5970,0.5696021372006488
23,220408,3,7,125,0,23,retrograde,7223,0.9265007696254489
24,220408,3,7,125,0,24,retrograde,1245,0.1989135644671673
0,220408,3,7,125,0,0,anterograde,0,0.0
1,220408,3,7,125,0,1,anterograde,0,0.0
2,220408,3,7,125,0,2,anterograde,44,0.006359300476947536
3,220408,3,7,125,0,3,anterograde,21,0.003754022166607079
4,220408,3,7,125,0,4,anterograde,207,0.02633587786259542
5,220408,3,7,125,0,5,anterograde,0,0.0
6,220408,3,7,125,0,6,anterograde,87,0.01819322459222083
7,220408,3,7,125,0,7,anterograde,1204,0.18978562421185372
8,220408,3,7,125,0,8,anterograde,1604,0.2827926657263752
9,220408,3,7,125,0,9,anterograde,351,0.0490497484628284
10,220408,3,7,125,0,10,anterograde,2193,0.26125804145818443
11,220408,3,7,125,0,11,anterograde,1691,0.28145805592543277
12,220408,3,7,125,0,12,anterograde,4718,0.4328440366972477
13,220408,3,7,125,0,13,anterograde,2635,0.2641074471283953
14,220408,3,7,125,0,14,anterograde,360,0.05669291338582677
15,220408,3,7,125,0,15,anterograde,4358,0.4256690759914046
16,220408,3,7,125,0,16,anterograde,0,0.0
17,220408,3,7,125,0,17,anterograde,438,0.08471953578336557
18,220408,3,7,125,0,18,anterograde,1771,0.2744885306881587
19,220408,3,7,125,0,19,anterograde,0,0.0
20,220408,3,7,125,0,20,anterograde,4610,0.2990205617175845
21,220408,3,7,125,0,21,anterograde,1914,0.2120775623268698
22,220408,3,7,125,0,22,anterograde,711,0.06783703845052953
23,220408,3,7,125,0,23,anterograde,0,0.0
24,220408,3,7,125,0,24,anterograde,0,0.0
0,220408,3,7,125,0,0,stationary,17,0.002406568516421291
1,220408,3,7,125,0,1,stationary,0,0.0
2,220408,3,7,125,0,2,stationary,0,0.0
3,220408,3,7,125,0,3,stationary,202,0.036110117983553805
4,220408,3,7,125,0,4,stationary,36,0.004580152671755725
5,220408,3,7,125,0,5,stationary,353,0.08169405230270771
6,220408,3,7,125,0,6,stationary,1279,0.267461313258051
7,220408,3,7,125,0,7,stationary,1342,0.21153846153846154
8,220408,3,7,125,0,8,stationary,1313,0.23148801128349789
9,220408,3,7,125,0,9,stationary,0,0.0
10,220408,3,7,125,0,10,stationary,0,0.0
11,220408,3,7,125,0,11,stationary,505,0.08405459387483355
12,220408,3,7,125,0,12,stationary,0,0.0
13,220408,3,7,125,0,13,stationary,0,0.0
14,220408,3,7,125,0,14,stationary,0,0.0
15,220408,3,7,125,0,15,stationary,0,0.0
16,220408,3,7,125,0,16,stationary,1036,0.2397593149733858
17,220408,3,7,125,0,17,stationary,1981,0.38317214700193425
18,220408,3,7,125,0,18,stationary,18,0.002789832610043397
19,220408,3,7,125,0,19,stationary,5745,0.47043891254503767
20,220408,3,7,125,0,20,stationary,891,0.05779334500875657
21,220408,3,7,125,0,21,stationary,1286,0.14249307479224377
22,220408,3,7,125,0,22,stationary,3800,0.3625608243488217
23,220408,3,7,125,0,23,stationary,573,0.07349923037455106
24,220408,3,7,125,0,24,stationary,5014,0.8010864355328328
0,220408,3,7,125,1,0,retrograde,89537,0.8255225380551535
1,220408,3,7,125,1,1,retrograde,85896,0.8789472607085116
2,220408,3,7,125,1,2,retrograde,55478,0.8214581852641554
3,220408,3,7,125,1,3,retrograde,0,
4,220408,3,7,125,1,4,retrograde,49626,0.8336581104690229
5,220408,3,7,125,1,5,retrograde,42066,0.8741168647660211
6,220408,3,7,125,1,6,retrograde,35623,0.8761190359075258
7,220408,3,7,125,1,7,retrograde,24735,0.9079396542231032
8,220408,3,7,125,1,8,retrograde,27300,0.9802865452978563
9,220408,3,7,125,1,9,retrograde,38543,0.9915363243465734
10,220408,3,7,125,1,10,retrograde,20280,0.9705671213208902
11,220408,3,7,125,1,11,retrograde,23222,0.9867425851958868
12,220408,3,7,125,1,12,retrograde,25025,1.0
13,220408,3,7,125,1,13,retrograde,30723,0.9986672734364842
14,220408,3,7,125,1,14,retrograde,16884,1.0
15,220408,3,7,125,1,15,retrograde,0,
16,220408,3,7,125,1,16,retrograde,13680,0.9934640522875817
17,220408,3,7,125,1,17,retrograde,12807,0.9900278293135436
18,220408,3,7,125,1,18,retrograde,10371,0.9828468536770281
19,220408,3,7,125,1,19,retrograde,8104,0.9720522969893247
20,220408,3,7,125,1,20,retrograde,7157,1.0
21,220408,3,7,125,1,21,retrograde,7014,1.0
22,220408,3,7,125,1,22,retrograde,5822,0.9921608725289707
23,220408,3,7,125,1,23,retrograde,5123,1.0
24,220408,3,7,125,1,24,retrograde,2067,1.0
0,220408,3,7,125,1,0,anterograde,6931,0.06390315412913397
1,220408,3,7,125,1,1,anterograde,5691,0.05823424677158586
2,220408,3,7,125,1,2,anterograde,7634,0.11303601042407013
3,220408,3,7,125,1,3,anterograde,0,
4,220408,3,7,125,1,4,anterograde,3744,0.06289477220803655
5,220408,3,7,125,1,5,anterograde,4057,0.08430305045299642
6,220408,3,7,125,1,6,anterograde,431,0.01060009837678308
7,220408,3,7,125,1,7,anterograde,176,0.006460375142238373
8,220408,3,7,125,1,8,anterograde,0,0.0
9,220408,3,7,125,1,9,anterograde,95,0.002443918501749331
10,220408,3,7,125,1,10,anterograde,0,0.0
11,220408,3,7,125,1,11,anterograde,312,0.013257414804113198
12,220408,3,7,125,1,12,anterograde,0,0.0
13,220408,3,7,125,1,13,anterograde,41,0.0013327265635157976
14,220408,3,7,125,1,14,anterograde,0,0.0
15,220408,3,7,125,1,15,anterograde,0,
16,220408,3,7,125,1,16,anterograde,0,0.0
17,220408,3,7,125,1,17,anterograde,0,0.0
18,220408,3,7,125,1,18,anterograde,181,0.01715314632297195
19,220408,3,7,125,1,19,anterograde,0,0.0
20,220408,3,7,125,1,20,anterograde,0,0.0
21,220408,3,7,125,1,21,anterograde,0,0.0
22,220408,3,7,125,1,22,anterograde,0,0.0
23,220408,3,7,125,1,23,anterograde,0,0.0
24,220408,3,7,125,1,24,anterograde,0,0.0
0,220408,3,7,125,1,0,stationary,11993,0.11057430781571256
1,220408,3,7,125,1,1,stationary,6139,0.06281849251990258
2,220408,3,7,125,1,2,stationary,4424,0.06550580431177445
3,220408,3,7,125,1,3,stationary,0,
4,220408,3,7,125,1,4,stationary,6158,0.10344711732294047
5,220408,3,7,125,1,5,stationary,2001,0.04158008478098246
6,220408,3,7,125,1,6,stationary,4606,0.1132808657156911
7,220408,3,7,125,1,7,stationary,2332,0.08559997063465845
8,220408,3,7,125,1,8,stationary,549,0.019713454702143703
9,220408,3,7,125,1,9,stationary,234,0.0060197571516773
10,220408,3,7,125,1,10,stationary,615,0.029432878679109833
11,220408,3,7,125,1,11,stationary,0,0.0
12,220408,3,7,125,1,12,stationary,0,0.0
13,220408,3,7,125,1,13,stationary,0,0.0
14,220408,3,7,125,1,14,stationary,0,0.0
15,220408,3,7,125,1,15,stationary,0,
16,220408,3,7,125,1,16,stationary,90,0.006535947712418301
17,220408,3,7,125,1,17,stationary,129,0.009972170686456401
18,220408,3,7,125,1,18,stationary,0,0.0
19,220408,3,7,125,1,19,stationary,233,0.027947703010675302
20,220408,3,7,125,1,20,stationary,0,0.0
21,220408,3,7,125,1,21,stationary,0,0.0
22,220408,3,7,125,1,22,stationary,46,0.007839127471029312
23,220408,3,7,125,1,23,stationary,0,0.0
24,220408,3,7,125,1,24,stationary,0,0.0
0,220408,3,18,121,0,0,retrograde,35349,0.5107277534567206
1,220408,3,18,121,0,1,retrograde,0,
2,220408,3,18,121,0,2,retrograde,25910,0.8653974615898463
3,220408,3,18,121,0,3,retrograde,21371,0.7520233654725877
4,220408,3,18,121,0,4,retrograde,15972,0.6175856468950583
5,220408,3,18,121,0,5,retrograde,8459,0.525045000310347
6,220408,3,18,121,0,6,retrograde,18667,0.8160793914488065
7,220408,3,18,121,0,7,retrograde,17567,0.7999908921171274
8,220408,3,18,121,0,8,retrograde,10191,0.7303805633197162
9,220408,3,18,121,0,9,retrograde,9944,0.8979591836734694
10,220408,3,18,121,0,10,retrograde,17439,0.9265713830295946
11,220408,3,18,121,0,11,retrograde,16235,0.9613904186652454
12,220408,3,18,121,0,12,retrograde,14485,0.8298957259081013
13,220408,3,18,121,0,13,retrograde,15984,0.8627874338767139
14,220408,3,18,121,0,14,retrograde,9996,0.8119567866135976
15,220408,3,18,121,0,15,retrograde,15352,0.7135155233314743
16,220408,3,18,121,0,16,retrograde,9025,0.8238247375627568
17,220408,3,18,121,0,17,retrograde,15775,0.8714988122203193
18,220408,3,18,121,0,18,retrograde,14739,0.8032590331898196
19,220408,3,18,121,0,19,retrograde,17371,0.8685065746712665
20,220408,3,18,121,0,20,retrograde,20812,0.8365960525786872
21,220408,3,18,121,0,21,retrograde,18474,0.7067600137725238
22,220408,3,18,121,0,22,retrograde,18231,0.8016797854096126
23,220408,3,18,121,0,23,retrograde,20244,0.785930584672723
24,220408,3,18,121,0,24,retrograde,0,
0,220408,3,18,121,0,0,anterograde,12816,0.18516752633175848
1,220408,3,18,121,0,1,anterograde,0,
2,220408,3,18,121,0,2,anterograde,1059,0.035370741482965935
3,220408,3,18,121,0,3,anterograde,1980,0.06967415018650151
4,220408,3,18,121,0,4,anterograde,7108,0.2748433995823989
5,220408,3,18,121,0,5,anterograde,4793,0.2974986034386444
6,220408,3,18,121,0,6,anterograde,2648,0.1157646235901023
7,220408,3,18,121,0,7,anterograde,2274,0.10355662826176056
8,220408,3,18,121,0,8,anterograde,526,0.03769798609618003
9,220408,3,18,121,0,9,anterograde,639,0.05770272710854253
10,220408,3,18,121,0,10,anterograde,70,0.0037192497741884065
11,220408,3,18,121,0,11,anterograde,73,0.004322851897909635
12,220408,3,18,121,0,12,anterograde,2072,0.11871204308467972
13,220408,3,18,121,0,13,anterograde,1608,0.08679693403864838
14,220408,3,18,121,0,14,anterograde,286,0.023231256599788808
15,220408,3,18,121,0,15,anterograde,2706,0.12576687116564417
16,220408,3,18,121,0,16,anterograde,1568,0.14313099041533547
17,220408,3,18,121,0,17,anterograde,1429,0.07894591459035412
18,220408,3,18,121,0,18,anterograde,1330,0.07248351408796119
19,220408,3,18,121,0,19,anterograde,935,0.046747662616869155
20,220408,3,18,121,0,20,anterograde,394,0.015837922579089118
21,220408,3,18,121,0,21,anterograde,2957,0.11312598033589655
22,220408,3,18,121,0,22,anterograde,1503,0.0660920803834484
23,220408,3,18,121,0,23,anterograde,1848,0.07174470067551829
24,220408,3,18,121,0,24,anterograde,0,
0,220408,3,18,121,0,0,stationary,21048,0.30410472021152096
1,220408,3,18,121,0,1,stationary,0,
2,220408,3,18,121,0,2,stationary,2971,0.09923179692718771
3,220408,3,18,121,0,3,stationary,5067,0.1783024843409107
4,220408,3,18,121,0,4,stationary,2782,0.10757095352254273
5,220408,3,18,121,0,5,stationary,2859,0.17745639625100862
6,220408,3,18,121,0,6,stationary,1559,0.0681559849610912
7,220408,3,18,121,0,7,stationary,2118,0.09645247962111207
8,220408,3,18,121,0,8,stationary,3236,0.23192145058410377
9,220408,3,18,121,0,9,stationary,491,0.04433808921798808
10,220408,3,18,121,0,10,stationary,1312,0.069709367196217
11,220408,3,18,121,0,11,stationary,579,0.03428672943684491
12,220408,3,18,121,0,12,stationary,897,0.05139223100721898
13,220408,3,18,121,0,13,stationary,934,0.050415632084637806
14,220408,3,18,121,0,14,stationary,2029,0.1648119567866136
15,220408,3,18,121,0,15,stationary,3458,0.16071760550288158
16,220408,3,18,121,0,16,stationary,362,0.0330442720219078
17,220408,3,18,121,0,17,stationary,897,0.04955527318932656
18,220408,3,18,121,0,18,stationary,2280,0.12425745272221919
19,220408,3,18,121,0,19,stationary,1695,0.0847457627118644
20,220408,3,18,121,0,20,stationary,3671,0.14756602484222375
21,220408,3,18,121,0,21,stationary,4708,0.18011400589157964
22,220408,3,18,121,0,22,stationary,3007,0.13222813420693902
23,220408,3,18,121,0,23,stationary,3666,0.14232471465175867
24,220408,3,18,121,0,24,stationary,0,
0,220408,3,18,121,1,0,retrograde,47684,0.35019020900959125
1,220408,3,18,121,1,1,retrograde,46785,0.31684489262422205
2,220408,3,18,121,1,2,retrograde,46610,0.34083098117788146
3,220408,3,18,121,1,3,retrograde,49323,0.3241394266787587
4,220408,3,18,121,1,4,retrograde,45130,0.31988488963864986
5,220408,3,18,121,1,5,retrograde,0,
6,220408,3,18,121,1,6,retrograde,50314,0.3087790358709994
7,220408,3,18,121,1,7,retrograde,48970,0.3111142171001639
8,220408,3,18,121,1,8,retrograde,0,
9,220408,3,18,121,1,9,retrograde,44921,0.2516018819312199
10,220408,3,18,121,1,10,retrograde,45239,0.2593592698336257
11,220408,3,18,121,1,11,retrograde,35444,0.20260081739975422
12,220408,3,18,121,1,12,retrograde,37422,0.21691775303303443
13,220408,3,18,121,1,13,retrograde,0,
14,220408,3,18,121,1,14,retrograde,43415,0.2606709056084923
15,220408,3,18,121,1,15,retrograde,31039,0.20823717260626878
16,220408,3,18,121,1,16,retrograde,34305,0.24321852445301534
17,220408,3,18,121,1,17,retrograde,33032,0.2410514255690235
18,220408,3,18,121,1,18,retrograde,32808,0.24181850344949585
19,220408,3,18,121,1,19,retrograde,33526,0.2457161284648422
20,220408,3,18,121,1,20,retrograde,35506,0.269904979095401
21,220408,3,18,121,1,21,retrograde,18098,0.14006872639465048
22,220408,3,18,121,1,22,retrograde,4354,0.03865034487044056
23,220408,3,18,121,1,23,retrograde,1451,0.012750551410820833
24,220408,3,18,121,1,24,retrograde,1056,0.009354155778582882
0,220408,3,18,121,1,0,anterograde,56541,0.4152358151080299
1,220408,3,18,121,1,1,anterograde,77527,0.5250408034728665
2,220408,3,18,121,1,2,anterograde,69881,0.5109978501542917
3,220408,3,18,121,1,3,anterograde,84028,0.5522127150611832
4,220408,3,18,121,1,4,anterograde,78870,0.559036588650572
5,220408,3,18,121,1,5,anterograde,0,
6,220408,3,18,121,1,6,anterograde,93165,0.5717573414342263
7,220408,3,18,121,1,7,anterograde,90564,0.5753675302728046
8,220408,3,18,121,1,8,anterograde,0,
9,220408,3,18,121,1,9,anterograde,117075,0.65573540943206
10,220408,3,18,121,1,10,anterograde,111727,0.640540974396019
11,220408,3,18,121,1,11,anterograde,121062,0.6920003429649318
12,220408,3,18,121,1,12,anterograde,121187,0.7024641049867549
13,220408,3,18,121,1,13,anterograde,0,
14,220408,3,18,121,1,14,anterograde,107663,0.6464266200743316
15,220408,3,18,121,1,15,anterograde,105199,0.7057683018462859
16,220408,3,18,121,1,16,anterograde,89658,0.6356649603675397
17,220408,3,18,121,1,17,anterograde,90092,0.6574474761553787
18,220408,3,18,121,1,18,anterograde,90163,0.6645660121469427
19,220408,3,18,121,1,19,anterograde,88272,0.6469562158279708
20,220408,3,18,121,1,20,anterograde,79598,0.6050779171417712
21,220408,3,18,121,1,21,anterograde,100200,0.775493777475079
22,220408,3,18,121,1,22,anterograde,104141,0.9244569511145041
23,220408,3,18,121,1,23,anterograde,109780,0.964683345196355
24,220408,3,18,121,1,24,anterograde,109876,0.9732928222798983
0,220408,3,18,121,1,0,stationary,31941,0.23457397588237885
1,220408,3,18,121,1,1,stationary,23347,0.15811430390291145
2,220408,3,18,121,1,2,stationary,20263,0.1481711686678269
3,220408,3,18,121,1,3,stationary,18815,0.1236478582600581
4,220408,3,18,121,1,4,stationary,17082,0.12107852171077813
5,220408,3,18,121,1,5,stationary,0,
6,220408,3,18,121,1,6,stationary,19466,0.11946362269477431
7,220408,3,18,121,1,7,stationary,17868,0.11351825262703143
