date,experiment,cell,kymograph,Unnamed: 0, ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,Angle,%Area,Slice,MinThr,MaxThr,Length,MTRF,length_difference
171013,7,cell0005,131,40,41,171013_TUBB2amEos_07_baseline_cell0005_Hyperstack_MTRF_kymograph-131.tif,20,1659.65,1034.941,926,4489,8,2,5,18,-106.379,0,1,0,65535,19.084,-0.2444444444444444,3
171013,7,cell0005,132,46,47,171013_TUBB2amEos_07_baseline_cell0005_Hyperstack_MTRF_kymograph-132.tif,17,706.294,248.542,485,1265,22,2,2,16,-95.513,0,1,0,65535,16.434,-0.11,0
171027,1,cell0000,126,3,4,171027_TUBB2amEos_01_baseline_cell0000_Hyperstack_MTRF_kymograph-126.tif,8,327.625,24.721,307,380,5,1,6,4,-142.409,0,1,0,65535,7.039,-1.32,-1
171027,1,cell0000,125,4,5,171027_TUBB2amEos_01_baseline_cell0000_Hyperstack_MTRF_kymograph-125.tif,9,339.444,23.601,308,369,7,1,6,5,-136.16,0,1,0,65535,7.733,-1.056,-4
171027,1,cell0003,122,0,1,171027_TUBB2amEos_01_baseline_cell0003_Hyperstack_MTRF_kymograph-122.tif,7,370.714,39.84,311,417,7,1,3,5,-120.556,0,1,0,65535,6.024,-0.528,5
171027,1,cell0003,123,9,10,171027_TUBB2amEos_01_baseline_cell0003_Hyperstack_MTRF_kymograph-123.tif,4,290.5,8.737,282,299,10,1,2,3,-132.109,0,1,0,65535,3.473,-0.5866666666666667,0
171027,1,cell0004,119,2,3,171027_TUBB2amEos_01_baseline_cell0004_Hyperstack_MTRF_kymograph-119.tif,11,368.455,50.7,314,453,10,1,7,8,-130.251,0,1,0,65535,10.066,-0.77,3
171027,1,cell0004,120,10,11,171027_TUBB2amEos_01_baseline_cell0004_Hyperstack_MTRF_kymograph-120.tif,6,299.5,23.78,268,327,9,1,3,4,-127.304,0,1,0,65535,5.304,-0.66,-19
171027,1,cell0011,117,13,14,171027_TUBB2amEos_01_baseline_cell0011_Hyperstack_MTRF_kymograph-117.tif,11,301.545,15.597,283,331,7,1,8,6,-140.667,0,1,0,65535,9.706,-1.1733333333333331,-5
171027,1,cell0011,116,33,34,171027_TUBB2amEos_01_baseline_cell0011_Hyperstack_MTRF_kymograph-116.tif,16,351.938,52.024,277,465,11,1,6,14,-114.034,0,1,0,65535,15.323,-0.3771428571428571,10
171027,2,cell0003,114,7,8,171027_TUBB2amEos_02_baseline_cell0003_Hyperstack_MTRF_kymograph-114.tif,13,331.154,15.942,308,358,5,2,6,10,-122.341,0,1,0,65535,12.123,-0.528,-5
171027,2,cell0003,113,12,13,171027_TUBB2amEos_02_baseline_cell0003_Hyperstack_MTRF_kymograph-113.tif,9,324.667,36.428,296,405,14,1,3,7,-111.066,0,1,0,65535,7.83,-0.3771428571428571,-6
171027,2,cell0004,111,17,18,171027_TUBB2amEos_02_baseline_cell0004_Hyperstack_MTRF_kymograph-111.tif,19,319.368,19.169,295,359,10,1,4,18,-101.138,0,1,0,65535,18.313,-0.1955555555555555,-3
171027,2,cell0005,107,20,21,171027_TUBB2amEos_02_baseline_cell0005_Hyperstack_MTRF_kymograph-107.tif,17,574.471,131.655,405,882,9,1,6,15,-112.683,0,1,0,65535,16.276,-0.352,1
171027,2,cell0005,108,26,27,171027_TUBB2amEos_02_baseline_cell0005_Hyperstack_MTRF_kymograph-108.tif,10,335.2,29.705,311,400,17,1,7,5,-142.457,0,1,0,65535,8.59,-1.232,-4
171103,1,cell0007,101,6,7,171103_TUBB2amEos_01_baseline_cell0007_Hyperstack_MTRF_kymograph-101.tif,22,327.182,31.074,282,419,5,1,11,18,-121.854,0,1,0,65535,21.023,-0.5377777777777778,6
171103,1,cell0007,102,68,69,171103_TUBB2amEos_01_baseline_cell0007_Hyperstack_MTRF_kymograph-102.tif,5,315.4,16.103,297,336,18,1,2,3,-117.15,0,1,0,65535,3.558,-0.5866666666666667,1
171103,1,cell0013,98,48,49,171103_TUBB2amEos_01_baseline_cell0013_Hyperstack_MTRF_kymograph-98.tif,16,443.0,84.8,337,613,22,1,4,14,-105.231,0,1,0,65535,14.529,-0.2514285714285714,13
171103,2,cell0005,96,29,30,171103_TUBB2amEos_02_baseline_cell0005_Hyperstack_MTRF_kymograph-96.tif,12,379.417,60.583,317,531,16,2,4,10,-113.409,0,1,0,65535,10.952,-0.352,0
171103,2,cell0005,95,50,51,171103_TUBB2amEos_02_baseline_cell0005_Hyperstack_MTRF_kymograph-95.tif,7,386.429,58.083,333,496,26,1,4,4,-136.494,0,1,0,65535,5.81,-0.88,-1
171103,2,cell0006,92,34,35,171103_TUBB2amEos_02_baseline_cell0006_Hyperstack_MTRF_kymograph-92.tif,12,397.0,32.588,330,429,15,1,8,8,-135.0,0,1,0,65535,10.644,-0.88,2
171103,2,cell0006,93,57,58,171103_TUBB2amEos_02_baseline_cell0006_Hyperstack_MTRF_kymograph-93.tif,18,419.389,60.943,341,526,22,1,14,9,-147.389,0,1,0,65535,16.58,-1.3688888888888888,-6
171103,2,cell0007,90,8,9,171103_TUBB2amEos_02_baseline_cell0007_Hyperstack_MTRF_kymograph-90.tif,19,415.053,69.168,352,649,3,1,10,15,-124.636,0,1,0,65535,17.914,-0.5866666666666667,-3
171103,2,cell0007,89,15,16,171103_TUBB2amEos_02_baseline_cell0007_Hyperstack_MTRF_kymograph-89.tif,11,414.0,75.334,344,619,13,1,4,9,-113.839,0,1,0,65535,9.921,-0.3911111111111111,-1
