,date,experiment,cell,condition,kymograph,direction,time,spread,frame,speed
0,190208,3,0,LatA,443.tif,anterograde,4.5,4.0,8,0.8888888888888888
1,190208,3,0,LatA,443.tif,retrograde,4.5,42.0,8,9.333333333333334
2,190208,3,0,LatA,444.tif,anterograde,1.0,1.0,1,1.0
3,190208,3,0,LatA,444.tif,retrograde,1.0,0.0,1,0.0
4,190208,3,1,LatA,440.tif,anterograde,1.0,3.0,1,3.0
5,190208,3,1,LatA,440.tif,retrograde,1.0,19.0,1,19.0
6,190208,3,1,LatA,441.tif,anterograde,0.5,78.0,0,156.0
7,190208,3,1,LatA,441.tif,retrograde,0.5,26.0,0,52.0
8,190208,3,2,LatA,437.tif,anterograde,2.5,0.0,4,0.0
9,190208,3,2,LatA,437.tif,retrograde,2.5,30.0,4,12.0
10,190208,3,2,LatA,438.tif,anterograde,0.5,5.0,0,10.0
11,190208,3,2,LatA,438.tif,retrograde,0.5,0.0,0,0.0
12,190208,3,3,LatA,433.tif,anterograde,1.5,1.0,2,0.6666666666666666
13,190208,3,3,LatA,433.tif,retrograde,1.5,25.0,2,16.666666666666668
14,190208,3,3,LatA,434.tif,anterograde,2.5,0.0,4,0.0
15,190208,3,3,LatA,434.tif,retrograde,2.5,18.0,4,7.2
16,190208,3,3,LatA,435.tif,anterograde,4.0,4.0,7,1.0
17,190208,3,3,LatA,435.tif,retrograde,4.0,32.0,7,8.0
18,190208,3,4,LatA,429.tif,anterograde,1.5,43.0,2,28.666666666666668
19,190208,3,4,LatA,429.tif,retrograde,1.5,29.0,2,19.333333333333332
20,190208,3,4,LatA,430.tif,anterograde,2.0,25.0,3,12.5
21,190208,3,4,LatA,430.tif,retrograde,2.0,18.0,3,9.0
22,190208,3,4,LatA,431.tif,anterograde,1.5,21.0,2,14.0
23,190208,3,4,LatA,431.tif,retrograde,1.5,41.0,2,27.333333333333332
24,190208,3,5,LatA,425.tif,anterograde,0.5,10.0,0,20.0
25,190208,3,5,LatA,425.tif,retrograde,0.5,1.0,0,2.0
26,190208,3,5,LatA,426.tif,anterograde,0.5,6.0,0,12.0
27,190208,3,5,LatA,426.tif,retrograde,0.5,21.0,0,42.0
28,190208,3,6,LatA,421.tif,anterograde,1.5,9.0,2,6.0
29,190208,3,6,LatA,421.tif,retrograde,1.5,16.0,2,10.666666666666666
30,190208,3,6,LatA,422.tif,anterograde,1.5,4.0,2,2.6666666666666665
31,190208,3,6,LatA,422.tif,retrograde,1.5,20.0,2,13.333333333333334
32,190208,3,6,LatA,423.tif,anterograde,1.5,16.0,2,10.666666666666666
33,190208,3,6,LatA,423.tif,retrograde,1.5,23.0,2,15.333333333333334
34,190208,3,7,LatA,418.tif,anterograde,2.5,65.0,4,26.0
35,190208,3,7,LatA,418.tif,retrograde,2.5,39.0,4,15.6
36,190208,3,7,LatA,419.tif,anterograde,0.5,0.0,0,0.0
37,190208,3,7,LatA,419.tif,retrograde,0.5,9.0,0,18.0
38,190208,3,8,LatA,415.tif,anterograde,2.5,21.0,4,8.4
39,190208,3,8,LatA,415.tif,retrograde,2.5,25.0,4,10.0
40,190208,3,8,LatA,416.tif,anterograde,1.5,0.0,2,0.0
41,190208,3,8,LatA,416.tif,retrograde,1.5,26.0,2,17.333333333333332
42,190208,3,9,LatA,412.tif,anterograde,2.0,1.0,3,0.5
43,190208,3,9,LatA,412.tif,retrograde,2.0,104.0,3,52.0
44,190208,3,9,LatA,413.tif,anterograde,0.5,6.0,0,12.0
45,190208,3,9,LatA,413.tif,retrograde,0.5,25.0,0,50.0
46,190208,3,10,LatA,409.tif,anterograde,1.0,8.0,1,8.0
47,190208,3,10,LatA,409.tif,retrograde,1.0,23.0,1,23.0
48,190208,3,10,LatA,410.tif,anterograde,1.0,22.0,1,22.0
49,190208,3,10,LatA,410.tif,retrograde,1.0,28.0,1,28.0
50,190208,3,11,LatA,407.tif,anterograde,0.5,3.0,0,6.0
51,190208,3,11,LatA,407.tif,retrograde,0.5,0.0,0,0.0
52,190208,3,12,LatA,403.tif,anterograde,2.5,20.0,4,8.0
53,190208,3,12,LatA,403.tif,retrograde,2.5,27.0,4,10.8
54,190208,3,12,LatA,404.tif,anterograde,4.0,19.0,7,4.75
55,190208,3,12,LatA,404.tif,retrograde,4.0,33.0,7,8.25
56,190208,3,13,LatA,399.tif,anterograde,3.0,22.0,5,7.333333333333333
57,190208,3,13,LatA,399.tif,retrograde,3.0,12.0,5,4.0
58,190208,3,13,LatA,400.tif,anterograde,0.5,15.0,0,30.0
59,190208,3,13,LatA,400.tif,retrograde,0.5,11.0,0,22.0
60,190208,3,13,LatA,401.tif,anterograde,2.0,12.0,3,6.0
61,190208,3,13,LatA,401.tif,retrograde,2.0,25.0,3,12.5
62,190208,5,1,LatA,395.tif,anterograde,2.0,13.0,3,6.5
63,190208,5,1,LatA,395.tif,retrograde,2.0,35.0,3,17.5
64,190208,5,1,LatA,396.tif,anterograde,2.0,35.0,3,17.5
65,190208,5,1,LatA,396.tif,retrograde,2.0,29.0,3,14.5
66,190208,5,1,LatA,397.tif,anterograde,1.0,0.0,1,0.0
67,190208,5,1,LatA,397.tif,retrograde,1.0,44.0,1,44.0
68,190208,5,3,LatA,391.tif,anterograde,1.5,12.0,2,8.0
