,date,experiment,cell,level_3,Frame,Length,type,d_frame,time,speed
0,180427,4,0,0,21,0.97196,proximal,19,9.5,0.10231157894736842
1,180427,4,0,1,21,0.9534799999999999,distal,19,9.5,0.10036631578947368
2,180427,4,1,0,9,0.89892,proximal,7,3.5,0.25683428571428574
3,180427,4,1,1,9,1.3244,distal,7,3.5,0.3784
4,180427,4,2,0,20,2.17184,proximal,18,9.0,0.24131555555555556
5,180427,4,2,1,20,2.42044,distal,18,9.0,0.2689377777777778
6,180427,4,5,0,19,1.54308,proximal,17,8.5,0.18153882352941175
7,180427,4,5,1,19,1.66848,distal,17,8.5,0.19629176470588236
8,180427,4,6,0,10,1.353,proximal,8,4.0,0.33825
9,180427,4,6,1,10,1.3046,distal,8,4.0,0.32615
10,180427,4,9,0,10,2.16436,proximal,8,4.0,0.54109
11,180427,4,9,1,10,2.30912,distal,8,4.0,0.57728
12,180427,4,12,0,21,1.9272,proximal,19,9.5,0.20286315789473686
13,180427,4,12,1,21,3.79632,distal,19,9.5,0.3996126315789474
14,180427,4,13,0,10,2.26424,proximal,8,4.0,0.56606
15,180427,4,13,1,10,2.53924,distal,8,4.0,0.63481
16,180427,5,0,0,9,0.836,proximal,7,3.5,0.23885714285714285
17,180427,5,0,1,9,1.3120800000000001,distal,7,3.5,0.37488000000000005
18,180427,5,1,0,14,-0.60148,proximal,12,6.0,-0.10024666666666666
19,180427,5,1,1,14,0.51348,distal,12,6.0,0.08558
20,180427,5,5,0,10,1.03092,proximal,8,4.0,0.25773
21,180427,5,5,1,10,1.39216,distal,8,4.0,0.34804
22,180427,5,8,0,12,1.58092,proximal,10,5.0,0.316184
23,180427,5,8,1,12,1.24212,distal,10,5.0,0.24842399999999998
24,180427,5,9,0,5,0.49192,proximal,3,1.5,0.32794666666666666
25,180427,5,9,1,5,0.88836,distal,3,1.5,0.59224
26,180427,5,10,0,5,1.353,proximal,3,1.5,0.902
27,180427,5,10,1,5,1.20604,distal,3,1.5,0.8040266666666667
28,180427,5,11,0,8,0.91036,proximal,6,3.0,0.3034533333333333
29,180427,5,11,1,8,1.11628,distal,6,3.0,0.37209333333333333
30,180501,3,2,0,16,0.9966,proximal,14,7.0,0.14237142857142857
31,180501,3,2,1,16,0.85316,distal,14,7.0,0.12188
32,180501,3,3,0,6,0.40216,proximal,4,2.0,0.20108
33,180501,3,3,1,6,0.46816,distal,4,2.0,0.23408
34,180501,3,6,0,6,0.42812,proximal,4,2.0,0.21406
35,180501,3,6,1,6,0.4158,distal,4,2.0,0.2079
36,180501,3,7,0,12,1.0538,proximal,10,5.0,0.21076
37,180501,3,7,1,12,0.66924,distal,10,5.0,0.133848
38,180501,3,12,0,11,0.76296,proximal,9,4.5,0.16954666666666665
39,180501,3,12,1,11,0.85272,distal,9,4.5,0.18949333333333335
40,180501,3,13,0,21,1.474,proximal,19,9.5,0.1551578947368421
41,180501,3,13,1,11,0.9534799999999999,distal,9,4.5,0.21188444444444443
42,180501,3,13,2,11,0.935,,9,4.5,0.20777777777777778
43,180508,1,6,0,7,1.21,proximal,5,2.5,0.484
44,180508,1,6,1,7,0.9680000000000001,distal,5,2.5,0.38720000000000004
45,180508,1,8,0,21,0.16588,proximal,19,9.5,0.017461052631578947
46,180508,1,8,1,21,1.75868,distal,19,9.5,0.18512421052631578
47,180515,1,2,0,21,0.74008,proximal,19,9.5,0.07790315789473684
48,180515,1,2,1,20,-0.56672,distal,18,9.0,-0.0629688888888889
49,180515,1,7,0,21,0.0,proximal,19,9.5,0.0
50,180515,1,7,1,13,0.0,distal,11,5.5,0.0
51,180515,1,9,0,21,0.0,proximal,19,9.5,0.0
52,180515,1,9,1,21,0.0,distal,19,9.5,0.0
53,180515,1,10,0,21,0.9534799999999999,proximal,19,9.5,0.10036631578947368
54,180515,1,10,1,21,1.39128,distal,19,9.5,0.14645052631578948
