date,experiment,cell,Unnamed: 0,Length,Frame,flow,time,stage,speed,neurite
180706.0,TUBB2ameos-3D,03,224.0,8.186,31.0,0.88,31.0,2.0,0.02838709677419355,short
180706.0,TUBB2ameos-3D,03,226.0,15.693,31.0,1.814,31.0,2.0,0.058516129032258064,short
180706.0,TUBB2ameos-3D,04,228.0,15.734,20.0,3.427,20.0,2.0,0.17135,short
180706.0,TUBB2ameos-3D,04,230.0,29.3,20.0,0.44,20.0,2.0,0.022,short
180710.0,TUBB2ameos-3D,01,220.0,15.63,18.0,4.096,18.0,2.0,0.22755555555555557,short
180710.0,TUBB2ameos-3D,01,222.0,18.385,29.0,2.952,29.0,2.0,0.10179310344827586,short
180710.0,TUBB2ameos-3D,02,217.0,21.13,31.0,1.867,31.0,2.0,0.0602258064516129,short
180710.0,TUBB2ameos-3D,05,213.0,21.448,18.0,0.44,18.0,2.0,0.024444444444444446,short
180710.0,TUBB2ameos-3D,05,215.0,25.656,20.0,1.968,20.0,2.0,0.0984,short
180713.0,TUBB2ameos-3D,01,209.0,18.997,20.0,5.897,20.0,2.0,0.29485,short
180713.0,TUBB2ameos-3D,01,211.0,8.864,10.0,1.968,10.0,2.0,0.1968,short
180713.0,TUBB2ameos-3D,02,205.0,25.636,9.0,0.44,9.0,2.0,0.04888888888888889,short
180713.0,TUBB2ameos-3D,02,207.0,17.463,9.0,1.867,9.0,2.0,0.20744444444444443,short
180713.0,TUBB2ameos-3D,03,203.0,21.734,20.0,3.006,20.0,2.0,0.1503,short
180713.0,TUBB2ameos-3D,04,199.0,20.901,13.0,2.095,13.0,2.0,0.16115384615384618,short
180713.0,TUBB2ameos-3D,04,201.0,15.304,20.0,2.64,20.0,2.0,0.132,short
180713.0,TUBB2ameos-3D,05,195.0,11.061,20.0,2.2,20.0,2.0,0.11000000000000001,short
180713.0,TUBB2ameos-3D,05,197.0,11.316,20.0,3.351,20.0,2.0,0.16755,short
180713.0,TUBB2ameos-3D,07,191.0,24.571,19.0,2.244,19.0,2.0,0.11810526315789475,short
