date,cell,experiment,Unnamed: 0,time,Length,flow,stage,speed,neurite
190213,0,1,45,20,82.2602,1.58664,4,0.079332,long
190213,0,1,47,20,32.50588,1.96768,4,0.098384,short
190213,1,1,41,20,94.48604,0,4,0,long
190213,1,1,43,20,40.02592,1.96768,4,0.098384,short
190213,3,1,37,20,75.63468,0.44,4,0.022,long
190213,3,1,39,20,33.81488,0,4,0,short
190213,4,1,33,20,106.79328,0,4,0,long
190213,4,1,35,20,66.47124,1.58664,4,0.079332,short
190213,5,1,29,20,80.26876,0,4,0,long
190213,5,1,31,20,40.44876,3.52,4,0.176,short
190213,6,1,25,20,100.29184,-0.3322,4,-0.01661,long
190213,6,1,27,20,33.21648,4.33356,4,0.216678,short
190213,8,1,21,20,106.79504,0,4,0,long
190213,8,1,23,20,61.29156,3.75936,4,0.187968,short
190213,9,1,17,20,75.2576,0,4,0,long
190213,9,1,19,20,41.1444,0,4,0,short
190213,10,1,13,20,73.66964,0,4,0,long
190213,10,1,15,20,35.57708,2.67652,4,0.133826,short
190213,11,1,9,20,106.7462,-0.8206,4,-0.04103,long
190213,11,1,11,20,35.69632,3.78488,4,0.189244,short
190213,13,1,5,20,77.3586,0.44,4,0.022,long
190213,13,1,7,20,59.95572,2.48908,4,0.124454,short
190213,1,2,1,20,87.05268,0,4,0,long
190213,1,2,3,20,41.31776,3.78488,4,0.189244,short
190213,5,2,69,20,102.55652,1.39128,4,0.069564,long
190213,5,2,71,20,23.12552,4.422,4,0.2211,short
190213,6,2,65,20,62.51168,0,4,0,long
190213,6,2,67,20,46.36016,1.81412,4,0.090706,short
190213,7,2,61,20,104.64432,0,4,0,long
190213,7,2,63,20,28.71528,1.32,4,0.066,short
190213,10,2,57,20,68.0768,0,4,0,long
190213,10,2,59,20,32.35232,6.00204,4,0.300102,short
190213,11,2,53,20,95.85972,0,4,0,long
190213,11,2,55,20,30.5272,2.67652,4,0.133826,short
190213,13,2,49,20,78.17216,-1.05292,4,-0.052646,long
190213,13,2,51,20,47.62956,1.58664,4,0.079332,short
191009,0,1,125,10,110.80212,0,4,0,long
191009,0,1,127,10,53.31876,2.2,4,0.22,short
191009,1,1,121,10,104.52112,0,4,0,long
191009,1,1,123,10,53.76624,0.62216,4,0.062216,short
191009,2,1,117,10,86.26596,0,4,0,long
191009,2,1,119,10,69.13456,0.44,4,0.044,short
191009,3,1,113,10,85.8418,0,4,0,long
191009,3,1,115,10,54.82136,2.56564,4,0.256564,short
191009,4,1,109,10,114.34764,-0.30272,4,-0.030272,long
191009,4,1,111,10,41.17212,1.24432,4,0.124432,short
191009,5,1,105,10,91.96352,-0.34804,4,-0.034804,long
191009,5,1,107,10,41.0058,2.24356,4,0.224356,short
191009,6,1,101,10,149.11248,0,4,0,long
191009,6,1,103,10,42.70596,0.44,4,0.044,short
191009,7,1,97,10,89.80708,0,4,0,short
191009,7,1,99,10,101.98144,0.98384,4,0.098384,long
191009,8,1,93,10,84.10952,0,4,0,long
191009,8,1,95,10,38.32312,0.62216,4,0.062216,short
191009,9,1,89,10,95.2028,0,4,0,long
191009,9,1,91,10,22.24508,1.58664,4,0.158664,short
191009,10,1,81,10,97.1234,0,4,0,long
191009,10,1,83,10,43.19128,0.98384,4,0.098384,short
191009,11,1,77,10,92.68204,0,4,0,long
191009,11,1,79,10,55.72732,1.58664,4,0.158664,short
191009,12,1,85,10,81.4946,1.39128,4,0.139128,long
191009,12,1,87,10,70.96188,0,4,0,short
191009,13,1,73,10,105.77028,0,4,0,long
191009,13,1,75,10,38.63728,0.44,4,0.044,short
171013,1,5,237,9.5,61.92384,1.58664,3,0.167014737,long
171013,1,5,239,9.5,38.5836,3.08,3,0.324210526,short
171013,2,6,210,9.5,53.5502,4.06384,3,0.427772632,long
171013,2,6,212,6,10.12132,5.72,3,0.953333333,short
171013,4,6,204,9.5,56.67288,4.93724,3,0.519709474,long
171013,4,6,206,5,16.65004,5.90304,3,1.180608,short
171013,1,7,192,5,5.04768,3.11124,3,0.622248,short
171013,1,7,194,9.5,67.36048,1.96768,3,0.207124211,long
171013,1,8,170,8.5,58.7972,1.39128,3,0.16368,long
171013,1,8,172,3.5,8.55052,4.92008,3,1.405737143,short
171013,3,8,162,9.5,64.64744,1.96768,3,0.207124211,long
171013,3,8,164,5,5.13392,2.95152,3,0.590304,short
171013,2,9,143,9.5,50.46008,0.62216,3,0.065490526,long
171013,2,9,145,9.5,28.9542,2.2,3,0.231578947,short
171018,8,1,699,9.5,95.10644,0.90552,3,0.095317895,long
171018,8,1,701,9.5,21.47244,2.12212,3,0.223381053,short
171027,1,1,321,9,54.2102,1.32,3,0.146666667,long
171027,1,1,323,5.5,29.57944,3.9842,3,0.7244,short
171027,6,1,309,9.5,65.2586,0.98384,3,0.103562105,long
171027,6,1,311,9,24.76936,2.48908,3,0.276564444,short
171027,7,1,305,1.5,11.26664,2.24356,3,1.495706667,short
171027,7,1,307,9.5,52.81276,4.44796,3,0.468206316,long
171027,9,1,298,5.5,61.13624,1.86384,3,0.33888,long
171027,9,1,300,9.5,33.77748,1.96768,3,0.207124211,short
171103,9,1,359,7,54.1398,4.68424,3,0.669177143,long
171103,9,1,361,3,10.95116,3.11124,3,1.03708,short
171103,13,2,413,9.5,21.38092,-0.3278,3,-0.034505263,short
171103,13,2,415,8,61.28804,0,3,0,long
171103,6,3,397,9.5,28.80944,8.93068,3,0.940071579,short
171103,6,3,399,18,51.29696,0,3,0,long
171107,12,7,505,18,56.90608,0,3,0,long
171107,12,7,507,6,25.168,1.83128,3,0.305213333,short
171107,0,9,465,9.5,23.26676,5.01732,3,0.528138947,short
171107,0,9,467,9.5,67.01508,0.44,3,0.046315789,long
171107,3,9,457,9.5,65.33252,0.62216,3,0.065490526,long
171107,3,9,459,9.5,12.56596,2.95152,3,0.310686316,short
171201,0,1,661,9.5,63.17036,4.5936,3,0.483536842,long
171201,0,1,663,4,16.52376,2.56564,3,0.64141,short
171201,0,2,634,9,74.7604,1.58664,3,0.176293333,long
171201,0,2,636,9.5,15.64596,2.48908,3,0.262008421,short
171201,2,2,627,9.5,7.49276,1.58664,3,0.167014737,short
171201,6,2,619,9.5,85.98128,1.81412,3,0.19096,long
171201,11,2,603,9.5,58.2604,7.645,3,0.804736842,long
171201,11,2,605,2,22.72468,2.2,3,1.1,short
171201,12,2,599,18,51.15088,-0.36124,3,-0.020068889,long
171201,12,2,601,5,15.35424,2.3694,3,0.47388,short
171201,13,2,597,3,58.05184,2.24356,3,0.747853333,long
171201,3,3,589,9.5,60.97696,3.4364,3,0.361726316,long
171201,3,3,591,9.5,8.8,2.81732,3,0.29656,short
180427,7,1,128,7,57.97836,-1.48896,3,-0.212708571,long
180427,8,1,123,5,66.81048,0.62216,3,0.124432,long
180427,8,1,125,7,28.86532,6.17584,3,0.882262857,short
180427,10,1,114,9.5,20.61972,1.32,3,0.138947368,short
180814,2,1,763,9.5,57.0636,1.39128,3,0.146450526,long
180814,2,1,765,7,24.25368,4.16768,3,0.595382857,short
180814,9,1,729,9.5,50.68008,0.98384,3,0.103562105,long
180814,9,1,731,4.5,28.81076,5.4406,3,1.209022222,short
